TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,TransactionType_Debit,Channel_Branch,Channel_Online,TransactionAmount_log,TransactionDuration_log,AccountBalance_log,TransactionAmount_Binned,CustomerAge_Binned,Cluster
14.09,70,81,1,5112.21,True,False,False,-1.9983232156465685,-0.2476560154117102,0.3951305796778073,1,1,2
376.24,68,141,1,13758.91,True,False,False,0.7510175550551882,0.5263253869442651,1.2957328943576278,0,1,3
126.29,19,56,1,1122.35,True,False,True,-0.17692936794940362,-0.7602552671655977,-0.9836245587447978,2,3,1
184.5,26,25,1,8569.06,True,False,True,0.1447277554142533,-1.866668891466087,0.8649746908055598,2,3,0
13.45,26,198,1,7429.4,False,False,True,-2.0353397171327763,1.0020088693949938,0.7351561817705577,1,3,2
92.15,18,172,1,781.68,True,False,False,-0.44363973752917346,0.8046566659856994,-1.3123639618626286,1,3,1
7.08,37,139,1,13316.71,False,False,False,-2.5318521728460857,0.5063317837277228,1.2660159196412544,1,0,2
171.42,67,291,1,2796.24,False,True,False,0.08227190245577362,1.5424899402964638,-0.153632485074583,2,1,3
106.23,51,86,1,9095.14,False,True,False,-0.32340706607794534,-0.1642277981834041,0.9191741316473426,1,2,3
815.96,55,120,1,1021.88,True,False,False,1.4110171063778252,0.3007498594109812,-1.0688629829672291,0,2,1
17.78,52,59,1,7599.52,False,False,True,-1.8114718658613602,-0.6879560662178483,0.7557504369044982,1,2,2
190.02,21,173,1,1528.81,True,False,True,0.16977385290230518,0.8127807541437204,-0.7026643861017511,2,3,1
494.52,24,111,1,1620.02,False,True,False,0.9839632400307076,0.19180528178839185,-0.6499782230763035,0,3,1
781.76,26,123,1,189.69,True,False,False,1.3744907601896936,0.3352705740216789,-2.597015842324475,0,3,1
166.99,18,134,1,299.93,True,False,True,0.06003962996468494,0.45507066577261496,-2.181956445552522,2,3,1
465.45,36,129,1,3465.54,True,False,False,0.9323247330871326,0.40187471512749245,0.041533056428257775,0,0,3
555.8,19,158,1,1131.26,False,True,False,1.083554330992245,0.6857104936920391,-0.9764371278079668,0,3,1
492.93,39,234,1,5109.97,True,False,True,0.981218118559319,1.2363857235555005,0.39473194298465103,0,0,3
18.68,59,106,1,7948.37,False,True,False,-1.7714893200501831,0.1274322051568539,0.7965769241638977,1,2,2
71.48,18,169,1,6568.59,False,False,True,-0.6579432753094743,0.7799996163535813,0.6231387772471577,1,3,2
59.32,71,38,1,5750.89,True,True,False,-0.814803061042201,-1.295155525470856,0.5022105627307042,1,1,0
85.77,38,93,1,9146.19,True,True,False,-0.5042409464673385,-0.05514933071095505,0.9242656873447754,1,0,3
52.2,39,120,1,8974.93,True,False,True,-0.9220873149815848,0.3007498594109812,0.9070710256905129,1,0,2
345.84,22,142,3,1402.5,True,False,True,0.6792545985348409,0.5362168338062946,-0.7810625959485379,0,3,1
145.54,21,96,1,1930.96,True,False,True,-0.056640735386019235,-0.010867404357589507,-0.4903337072241879,2,3,1
7.49,65,276,1,3634.67,False,False,True,-2.489574806598446,1.468156791819232,0.08487086907096392,1,1,2
246.93,23,158,5,673.35,True,False,False,0.3925059182606114,0.6857104936920391,-1.4478954328002214,2,3,1
40.32,37,95,1,2686.52,True,True,False,-1.137937966836101,-0.025474015830054687,-0.1900360441497826,1,0,2
127.45,44,197,1,1772.06,True,False,True,-0.16918082172481577,0.9949079707833101,-0.5684168995627003,2,0,1
56.17,27,283,1,1351.69,True,True,False,-0.8606142605594571,1.5033339392713898,-0.8146090777429861,1,3,2
28.31,59,20,1,8334.47,False,False,True,-1.4312641564509474,-2.1677070091977497,0.8397244039960423,1,2,0
59.12,29,257,1,9823.64,True,False,False,-0.8176397882191849,1.3679988473966433,0.9892652514054222,1,3,2
396.45,49,168,3,9690.15,True,False,False,0.7955929128170819,0.7716838082016093,0.9768193285965151,0,2,3
877.81,22,150,1,399.0,True,False,True,1.4733508725397064,0.6129446397377594,-1.9230501607795703,0,3,1
255.26,45,50,1,14815.87,False,True,False,0.42073184532589364,-0.9170306242447678,1.3630617373537832,2,0,0
124.76,49,45,1,5764.72,True,True,False,-0.18725813072204844,-1.0624714254115903,0.5043953932472001,2,2,0
78.13,26,145,1,900.61,True,True,False,-0.5829658595153251,0.5654813879693391,-1.183670750514775,1,3,1
649.28,75,137,1,4875.86,True,False,False,1.2161138906609092,0.48605049291076574,0.35207535534475026,0,1,3
795.31,66,90,2,7914.88,True,False,False,1.3891498327261789,-0.10086767552528493,0.7927360807169065,0,1,3
335.63,55,216,1,1019.39,True,False,True,0.6537336674079965,1.124063237635357,-1.0710803191122218,0,2,1
328.47,63,119,1,4323.66,True,False,False,0.6353704727657429,0.2890524861092763,0.24275104781552936,0,1,3
34.02,38,19,1,14214.48,True,False,True,-1.2792356864625063,-2.236477984540204,1.3253658584938754,1,0,0
241.42,57,116,1,13357.02,False,False,True,0.37330943737985217,0.25336639285150014,1.2687654248624132,2,2,3
55.32,19,117,1,241.79,True,False,False,-0.8734088799695372,0.2653624260533259,-2.377264861335769,1,3,1
304.31,27,33,1,868.61,True,True,False,0.5703213485398353,-1.4885439902399988,-1.2165470147504067,2,3,0
435.27,74,90,1,4673.28,True,True,False,0.8751918714785034,-0.10086767552528493,0.3134774064943273,0,1,3
164.49,26,75,1,1509.27,True,True,False,0.047232958358788706,-0.3547600808337047,-0.7143594678221652,2,3,1
510.24,19,105,1,781.7,True,False,True,1.0106391848259884,0.1141971276968075,-1.3123407148073694,0,3,1
626.9,26,138,1,265.51,True,False,True,1.1862001741931774,0.4962276157756675,-2.292461503593169,0,3,1
22.01,41,175,1,1335.09,False,False,True,-1.637965368736205,0.8288897911199714,-0.8258426030996477,1,0,2
425.34,69,121,1,3907.54,False,False,True,0.855526060243614,0.31235095694383214,0.15071078204355542,0,1,3
424.56,51,264,1,5183.85,True,False,True,0.8539619620040919,1.405732181963263,0.4077885740544651,0,2,3
85.43,67,145,1,14904.9,True,True,False,-0.5075943785010122,0.5654813879693391,1.3685118581041051,1,1,3
169.5,28,142,1,918.88,True,True,False,0.07270721301642827,0.5362168338062946,-1.1654198602480474,2,3,1
104.63,62,90,1,4477.78,True,False,False,-0.33624786442158194,-0.10086767552528493,0.27460832830293563,1,1,3
316.95,25,83,1,1324.03,True,True,False,0.6049707144992559,-0.21368990454350112,-0.8334048508544779,0,3,1
60.54,57,52,1,3534.93,False,True,False,-0.7977001085769093,-0.8628114246303165,0.05956396368156412,1,2,0
292.56,68,61,1,4638.37,False,True,False,0.5368001940649457,-0.6417379783054457,0.3066573228306734,2,1,0
386.52,48,28,1,5630.61,True,True,False,0.7739817926332563,-1.7127497165057597,0.4829844491568066,0,2,0
112.07,23,51,1,930.3,True,True,False,-0.27811125560345346,-0.8896603391389625,-1.1541950063541548,1,3,1
568.52,46,152,1,5499.91,True,False,False,1.1028474170408138,0.6314912940775878,0.4616215696151443,0,2,3
263.99,79,227,2,4175.02,True,True,False,0.4493450636696689,1.1937618374886516,0.21093223078612294,2,1,3
349.64,48,226,1,6651.62,True,False,True,0.68856169159131,1.1875661114981104,0.6345647827554144,0,2,3
601.4,56,104,1,8458.29,False,True,False,1.1507882700852532,0.10083659739582986,0.8531391544879497,0,2,3
5.77,50,124,1,13988.12,True,False,True,-2.6829412736259837,0.3465921239927079,1.3107627000241329,1,2,2
